# Time-averaged data for fix dump_rdf_all
# TimeStep Number-of-rows
# Row c_calc_rdf_all[1] c_calc_rdf_all[2] c_calc_rdf_all[3]
20000 1000
627 2.64718 1.02292 127.725
628 2.65141 1.02239 128.356
629 2.65563 1.01956 128.986
630 2.65986 1.0202 129.619
631 2.66408 1.01662 130.252
632 2.66831 1.02075 130.889
633 2.67254 1.02173 131.529
634 2.67676 1.02127 132.171
635 2.68099 1.01619 132.812
636 2.68521 1.01681 133.455
637 2.68944 1.02182 134.103
638 2.69366 1.013 134.747
639 2.69789 1.01846 135.398
640 2.70211 1.01366 136.047
641 2.70634 1.01634 136.699
642 2.71056 1.01618 137.354
643 2.71479 1.01552 138.011
644 2.71901 1.01643 138.67
645 2.72324 1.01455 139.329
646 2.72746 1.0132 139.991
647 2.73169 1.00802 140.65
648 2.73592 1.0055 141.31
649 2.74014 1.00506 141.972
650 2.74437 1.00393 142.635
651 2.74859 1.00356 143.3
652 2.75282 0.999864 143.965
653 2.75704 1.00132 144.632
654 2.76127 0.999328 145.3
655 2.76549 0.998018 145.97
656 2.76972 1.00228 146.644
657 2.77394 0.999855 147.319
658 2.77817 1.00156 147.997
659 2.78239 1.00283 148.678
660 2.78662 1.00447 149.362
661 2.79085 1.00475 150.048
662 2.79507 1.00622 150.737
663 2.7993 1.0053 151.428
664 2.80352 0.999726 152.117
665 2.80775 0.997106 152.807
666 2.81197 1.00098 153.501
667 2.8162 1.00331 154.199
668 2.82042 0.998772 154.896
669 2.82465 0.998841 155.595
670 2.82887 0.999742 156.296
671 2.8331 0.996917 156.998
672 2.83732 0.99956 157.704
673 2.84155 0.996447 158.409
674 2.84577 0.9984 159.118
675 2.85 0.99863 159.83
676 2.85423 1.00076 160.545
677 2.85845 1.00165 161.263
678 2.86268 0.999866 161.981
679 2.8669 1.00046 162.702
680 2.87113 1.00043 163.426
681 2.87535 0.998896 164.15
682 2.87958 0.999536 164.877
683 2.8838 1.00023 165.606
