ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1200
ITEM: BOX BOUNDS pp pp pp
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
167 -0.663352 0.191776 -0.45605
175 -1.18332 0.122064 -0.689293
183 -0.508597 -0.307354 0.209739
191 0.629591 0.144085 0.0108549
727 0.107668 1.03052 1.04001
735 -0.467745 0.374816 0.279873
751 0.200843 -0.692723 -0.879156
159 0.330125 -0.113388 0.00927756
775 -0.278611 0.0978905 -0.877271
783 -0.462202 -1.19788 0.0345699
791 0.27278 -0.749173 0.291995
799 0.989294 0.015749 -0.792945
807 -0.222471 -0.190275 -0.633743
151 0.543584 0.180618 0.234824
815 0.35639 0.132982 0.769834
535 -0.767756 -0.117164 0.235235
916 0.774909 -0.424532 -1.00324
908 -0.548421 0.110143 -0.00056877
900 0.0601699 1.77453 -0.346541
892 0.00846658 -0.105007 0.69969
884 -0.0761767 -0.254353 0.692747
876 0.289501 -0.965182 0.573803
868 0.889174 -0.213585 -0.966302
204 -0.00779213 0.118977 1.35205
860 -0.322894 -0.592953 -0.171463
852 -0.0172864 0.0613801 0.0500099
844 -0.962664 0.584198 -1.12986
836 0.147435 -0.722668 0.0783456
828 1.22006 -0.43862 0.73188
244 -0.284129 -1.52199 -0.322893
236 1.21171 -0.0890829 -0.0488325
212 -0.380778 -0.684822 -0.930836
1068 0.435481 -0.296291 -0.116206
220 0.487447 -0.0338662 -0.423846
464 -0.0414204 0.113084 0.0325099
216 -0.0723983 -0.384973 -0.0844362
224 -1.52915 -0.859886 0.859657
232 0.221162 0.579904 0.206586
240 -0.483457 -0.842349 -0.818033
248 -0.603416 0.297933 -0.731077
824 -0.460726 0.0711307 -0.206752
832 -0.630458 -0.451958 -0.326356
840 -0.283275 -1.50088 0.118893
208 0.235627 0.0435714 -0.603212
848 0.122423 -0.21642 -0.133295
856 0.709261 0.114392 -0.100529
864 0.46131 -0.168491 -0.307984
872 -0.923732 -0.0960606 -0.147782
880 -0.766401 0.751998 -1.54634
888 1.09936 0.136664 -0.800367
896 -1.45622 -0.422294 -0.0278906
200 0.107655 0.348714 -0.0682956
904 -1.0793 0.678477 -0.0554024
912 -0.174291 -0.31362 0.525751
448 0.373297 0.46157 -0.559218
504 -0.102557 0.756101 -0.422557
16 0.0793471 -0.130585 -0.643389
217 0.512284 -0.45818 0.712151
225 -0.604942 -0.489663 0.155159
233 -0.256677 -0.110834 -0.381927
241 -0.853387 0.713888 0.113086
249 0.216971 0.4644 -0.969666
825 0.521503 -0.210114 -1.26082
833 0.242102 -0.396567 -0.104359
209 -0.0545309 -0.82348 0.302779
841 0.713028 -0.0589439 -0.678887
849 0.871451 -0.575849 -1.67145
857 -0.0548868 -0.282942 0.997257
865 -0.58745 -0.631682 -0.758153
873 1.14314 0.306326 -0.296518
881 1.02074 -0.630166 1.07675
889 0.000962558 0.568495 0.820772
201 0.215393 0.501173 -0.330919
897 -0.155462 -2.17258 -0.533569
905 -0.140877 0.118217 0.102704
913 0.431151 -1.29907 1.39541
1034 -0.33233 -1.0042 -0.258267
986 0.0934131 -1.89923 0.28094
218 0.940399 -0.0183565 -0.168536
226 0.0813752 0.143155 -0.700434
234 -0.164373 0.512525 0.119006
242 -0.636205 -0.347134 0.377491
826 -0.234742 0.270091 1.26852
210 0.564323 0.646407 -0.469411
834 -0.198893 0.473186 0.255861
842 -0.0637225 -0.188686 -0.808655
850 -0.403528 0.241251 0.916185
858 0.353207 1.13377 0.123234
866 1.79766 -0.622754 0.363664
874 0.642589 -0.272493 0.34163
882 0.075924 0.530171 0.161977
202 -0.529299 0.715286 0.245927
890 0.337943 -0.131494 0.882487
898 -0.297426 0.00992648 0.540415
906 -0.30349 -0.0928812 -0.0759754
914 -0.659458 0.295063 -0.936188
410 -0.746112 0.765295 0.0148841
434 -0.0316631 -0.455563 -1.61328
450 1.4081 0.77074 0.0527427
219 -0.59752 -0.11703 -0.203726
227 -0.255738 -0.314878 -0.453306
235 -0.1892 -0.123669 -0.887876
243 -0.0277307 -0.291051 0.552914
827 1.19979 0.907909 -0.991517
835 -0.81002 0.416772 -0.200201
843 -0.884264 -0.156579 -1.36451
851 -0.135613 0.801012 0.875403
859 0.493127 -1.11732 -0.996297
867 0.190773 0.4391 0.849449
875 0.593768 -0.11279 0.851365
203 1.19728 -0.100414 -0.121419
