# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
50400 1220.29 -5736.15
50500 1210.09 -5724.87
50600 1208.09 -5722.41
50700 1216.8 -5732.26
50800 1207.56 -5722.74
50900 1202.62 -5717.68
51000 1185.8 -5700.64
51100 1170.7 -5686.02
51200 1172.81 -5687.81
51300 1162.56 -5677.9
51400 1166.68 -5680.77
51500 1192.82 -5707.35
51600 1219.29 -5733.47
51700 1254.64 -5769.47
51800 1264.3 -5779.74
51900 1266.86 -5782.39
52000 1256.53 -5771.78
52100 1230.47 -5745.65
52200 1224.42 -5739.89
52300 1222.32 -5736.7
52400 1221.45 -5736.51
52500 1221.2 -5736.6
52600 1213.53 -5728.02
52700 1222.1 -5737.34
52800 1238.59 -5753.15
52900 1250.35 -5765.56
53000 1256.7 -5771.37
53100 1259.94 -5774.26
53200 1259.21 -5774.77
53300 1248.51 -5763.49
53400 1225.76 -5740.28
53500 1217.27 -5732.5
53600 1225.14 -5740.16
53700 1206.28 -5721.88
53800 1189.57 -5704.45
53900 1194.66 -5709.78
54000 1195.45 -5710.2
54100 1190.06 -5704.69
54200 1198.7 -5712.97
54300 1229.98 -5744.74
54400 1228.27 -5742.85
54500 1210.2 -5724.99
54600 1215.4 -5730.44
54700 1230.92 -5745.42
54800 1237.74 -5752.01
54900 1226.64 -5741.62
55000 1212.47 -5727.15
55100 1196.04 -5711.63
55200 1206.55 -5721.25
55300 1223.15 -5738.03
55400 1229.7 -5744.61
55500 1228.72 -5743.52
55600 1209.44 -5723.92
55700 1181.28 -5695.93
55800 1183.55 -5698.41
55900 1199.01 -5713.95
56000 1209.08 -5722.93
56100 1217.21 -5731.74
56200 1218.03 -5733.17
56300 1213.95 -5729.11
56400 1219.03 -5734.67
56500 1215.26 -5730.36
56600 1207.48 -5722.76
56700 1214.94 -5729.97
56800 1216.01 -5730.94
56900 1203.93 -5718.77
57000 1206.32 -5721.18
57100 1207.83 -5722.97
57200 1202.46 -5717.25
57300 1203.69 -5718.22
57400 1215.04 -5729.57
57500 1201.54 -5717.33
57600 1189.51 -5704.13
57700 1193.4 -5708.23
57800 1183.78 -5698.63
57900 1190.27 -5705.92
58000 1197.95 -5712.77
58100 1190.51 -5705.24
58200 1189.69 -5704.09
58300 1187.66 -5702.25
58400 1209.42 -5724.52
58500 1219.99 -5734.68
58600 1206.99 -5721.55
58700 1209.07 -5724.41
58800 1215.58 -5730.36
58900 1207.91 -5722.72
59000 1197.35 -5713.12
59100 1190.08 -5704.72
59200 1190.46 -5705.41
59300 1185.26 -5700.37
59400 1190.94 -5705.98
59500 1212.89 -5728.3
59600 1212.56 -5727.85
59700 1197.01 -5711.71
59800 1180.8 -5695.32
59900 1178.32 -5692.55
60000 1197.2 -5712.61
60100 1206.31 -5720.86
60200 1218.98 -5734.09
60300 1224.74 -5738.38
60400 1211.91 -5727.23
60500 1210.25 -5724.9
60600 1217.96 -5733.66
60700 1218.44 -5734.03
60800 1202.3 -5717.05
60900 1197.48 -5712.12
61000 1219.32 -5734.29
61100 1218.13 -5732.82
61200 1226.8 -5741.93
61300 1238.22 -5752.93
61400 1237.99 -5753.02
61500 1229.59 -5743.99
61600 1219.68 -5735.05
61700 1216.09 -5730.98
61800 1223.95 -5738.47
61900 1219.89 -5735.03
62000 1196.84 -5711.72
62100 1199.7 -5714.54
62200 1196.37 -5711.64
62300 1196.94 -5712.7
62400 1204.01 -5718.88
62500 1212.07 -5727.49
62600 1203.29 -5718.41
62700 1199.89 -5714.68
62800 1205.7 -5720.57
62900 1199.72 -5714.38
63000 1216.27 -5730.93
63100 1227.49 -5742.87
63200 1214.89 -5730.24
63300 1218.79 -5732.98
63400 1218.55 -5733.4
63500 1208.28 -5722.68
63600 1199.62 -5715.3
63700 1192.51 -5707.57
63800 1191.58 -5706.34
63900 1189.02 -5703.58
64000 1190.93 -5705.49
64100 1200.46 -5714.78
64200 1200.72 -5715.75
64300 1203.11 -5718.38
64400 1209.09 -5724.81
64500 1207.63 -5722.42
64600 1196.62 -5712.09
64700 1184.82 -5699.29
64800 1184.16 -5698.32
64900 1189.96 -5704.57
65000 1184.92 -5700.89
65100 1175.67 -5690.32
65200 1185.31 -5700.89
65300 1198.06 -5713.08
65400 1200.35 -5714.99
65500 1204.97 -5720.23
65600 1221.57 -5736.24
65700 1223.83 -5738.84
65800 1217.98 -5732.56
65900 1222.6 -5737.64
66000 1223.5 -5739.05
66100 1211.35 -5726.73
66200 1206.48 -5721.5
66300 1210.38 -5725.66
66400 1195.69 -5710.13
66500 1203.72 -5718.74
66600 1210.75 -5725.47
66700 1195.38 -5710.34
66800 1187.88 -5703.26
66900 1205.13 -5720.11
67000 1217.01 -5731.95
67100 1221.76 -5737.41
67200 1220.19 -5735.09
67300 1223.93 -5739.65
67400 1244.26 -5758.97
67500 1258.36 -5773.05
67600 1251.34 -5766.19
67700 1229.12 -5744.65
67800 1232.96 -5748.58
67900 1242.22 -5757.1
68000 1247.17 -5762.35
68100 1239.49 -5754.51
68200 1231.72 -5747.12
68300 1227.87 -5742.25
68400 1209.71 -5725.25
68500 1211.21 -5726.16
68600 1230.14 -5745.13
68700 1225.07 -5740
68800 1193.08 -5708.08
68900 1180.64 -5695.99
69000 1178.86 -5693.73
69100 1186.63 -5701.66
69200 1191.24 -5705.51
69300 1195 -5709.67
69400 1196.91 -5710.83
69500 1206.46 -5720.86
69600 1206.14 -5720.55
69700 1185.24 -5700.71
69800 1163.31 -5678.37
69900 1161.01 -5675.96
70000 1164.52 -5679.79
70100 1160.9 -5675.6
70200 1165.75 -5681.02
70300 1187.11 -5702.34
70400 1197.26 -5712.61
70500 1182.25 -5696.88
70600 1172.4 -5687.95
70700 1185.61 -5701.2
70800 1183.84 -5698.82
70900 1163.1 -5676.98
71000 1169.05 -5684.13
71100 1175.59 -5690.66
71200 1156.94 -5671.64
71300 1158.73 -5672.89
71400 1164.03 -5679.33
71500 1172.21 -5688
71600 1171.14 -5685.96
71700 1189.19 -5704.19
71800 1210.11 -5725.1
71900 1206.7 -5721.5
72000 1198.07 -5712.61
72100 1190.25 -5704.87
72200 1187.91 -5703.36
72300 1216.52 -5731.13
72400 1229.85 -5743.89
72500 1214.24 -5729.38
72600 1201.14 -5716.61
72700 1207.19 -5722.19
