# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
37000 -6.99885e-13 -2.84217e-14 -5.11591e-13
37100 -7.0699e-13 -5.50671e-14 -4.9738e-13
37200 -7.30083e-13 -7.10543e-14 -5.3646e-13
37300 -7.69607e-13 -1.06581e-13 -5.04485e-13
37400 -7.59393e-13 -1.56319e-13 -5.43565e-13
37500 -7.53175e-13 -1.72307e-13 -5.68434e-13
37600 -8.02469e-13 -1.48326e-13 -5.82645e-13
37700 -8.1446e-13 -1.47882e-13 -5.61329e-13
37800 -8.02913e-13 -1.49214e-13 -4.9738e-13
37900 -8.49099e-13 -1.0747e-13 -5.25802e-13
38000 -8.89511e-13 -1.11022e-13 -4.88498e-13
38100 -9.30367e-13 -9.32587e-14 -4.67182e-13
38200 -9.69891e-13 -9.9476e-14 -4.83169e-13
38300 -9.39693e-13 -8.70415e-14 -4.90274e-13
38400 -9.43245e-13 -8.9706e-14 -4.40536e-13
38500 -9.84102e-13 -9.37028e-14 -4.52971e-13
38600 -9.91207e-13 -1.23013e-13 -4.92051e-13
38700 -1.01252e-12 -1.45661e-13 -5.04485e-13
38800 -1.00719e-12 -1.40776e-13 -5.25802e-13
38900 -1.04405e-12 -1.37668e-13 -5.66658e-13
39000 -1.05338e-12 -1.25677e-13 -5.3646e-13
39100 -1.10822e-12 -8.43769e-14 -5.71987e-13
39200 -1.11955e-12 -7.9492e-14 -5.7554e-13
39300 -1.1191e-12 -9.23706e-14 -5.32907e-13
39400 -1.12621e-12 -9.9476e-14 -5.50671e-13
39500 -1.12621e-12 -1.42109e-13 -6.00409e-13
39600 -1.11378e-12 -7.81597e-14 -6.03961e-13
39700 -1.13154e-12 -5.68434e-14 -5.93303e-13
39800 -1.10134e-12 -5.15143e-14 -6.11067e-13
39900 -1.13154e-12 -9.41469e-14 -5.93303e-13
40000 -1.14486e-12 -8.70415e-14 -5.50671e-13
40100 -1.15996e-12 -1.27898e-13 -5.54223e-13
40200 -1.14486e-12 -1.45661e-13 -5.79092e-13
40300 -1.14397e-12 -1.34115e-13 -5.52447e-13
40400 -1.13287e-12 -1.98508e-13 -5.70211e-13
40500 -1.10845e-12 -1.9984e-13 -5.52447e-13
40600 -1.15197e-12 -1.90958e-13 -5.56e-13
40700 -1.14264e-12 -1.79412e-13 -5.59552e-13
40800 -1.17395e-12 -1.82077e-13 -5.9508e-13
40900 -1.16529e-12 -1.93623e-13 -6.10179e-13
41000 -1.15197e-12 -1.85629e-13 -6.61693e-13
41100 -1.13909e-12 -1.51879e-13 -6.51923e-13
41200 -1.17018e-12 -1.45661e-13 -6.34159e-13
41300 -1.15286e-12 -1.34115e-13 -6.32383e-13
41400 -1.13953e-12 -1.35891e-13 -6.25278e-13
41500 -1.16795e-12 -1.2168e-13 -5.96856e-13
41600 -1.10134e-12 -1.55875e-13 -6.03961e-13
41700 -1.10667e-12 -1.38556e-13 -6.07514e-13
41800 -1.12887e-12 -1.56319e-13 -6.39488e-13
41900 -1.04183e-12 -1.75859e-13 -6.53699e-13
42000 -1.0747e-12 -2.26485e-13 -6.35936e-13
42100 -1.05516e-12 -2.30926e-13 -6.11067e-13
42200 -1.06581e-12 -2.75335e-13 -6.18172e-13
42300 -1.04805e-12 -2.66454e-13 -6.14619e-13
42400 -1.08002e-12 -2.0961e-13 -6.43041e-13
42500 -1.07825e-12 -2.13163e-13 -5.96856e-13
42600 -1.05338e-12 -1.84741e-13 -6.0929e-13
42700 -1.06404e-12 -2.07834e-13 -5.93303e-13
42800 -1.03695e-12 -1.36779e-13 -5.71987e-13
42900 -1.02762e-12 -8.52651e-14 -5.71987e-13
43000 -1.03517e-12 -8.34888e-14 -5.50671e-13
43100 -1.05294e-12 -8.17124e-14 -5.08038e-13
43200 -1.09646e-12 -5.32907e-14 -5.00933e-13
43300 -1.12355e-12 -1.35003e-13 -4.81393e-13
43400 -1.06848e-12 -1.3145e-13 -4.79616e-13
43500 -1.10933e-12 -8.88178e-14 -5.04485e-13
43600 -1.09868e-12 -8.52651e-14 -5.15143e-13
43700 -1.1422e-12 -8.52651e-14 -5.00933e-13
43800 -1.08535e-12 -5.32907e-14 -5.04485e-13
43900 -1.06581e-12 -2.4869e-14 -5.00933e-13
44000 -1.12799e-12 -2.66454e-14 -5.43565e-13
44100 -1.08535e-12 -5.32907e-14 -5.43565e-13
44200 -1.12976e-12 -6.03961e-14 -5.25802e-13
44300 -1.15108e-12 -2.4869e-14 -5.63105e-13
44400 -1.16884e-12 3.55271e-15 -5.32907e-13
44500 -1.16707e-12 -1.77636e-14 -5.57776e-13
44600 -1.21325e-12 -3.37508e-14 -5.27578e-13
44700 -1.21503e-12 -5.68434e-14 -5.54223e-13
44800 -1.24167e-12 -7.81597e-14 -5.02709e-13
44900 -1.24878e-12 -8.88178e-14 -5.2669e-13
45000 -1.25056e-12 -7.81597e-14 -4.90274e-13
45100 -1.20615e-12 -8.34888e-14 -5.14255e-13
45200 -1.21769e-12 -9.05942e-14 -4.92051e-13
45300 -1.20615e-12 -9.41469e-14 -4.90274e-13
45400 -1.25144e-12 -7.4607e-14 -4.61853e-13
45500 -1.24878e-12 -9.41469e-14 -4.82281e-13
45600 -1.23546e-12 -5.32907e-14 -5.06262e-13
45700 -1.24256e-12 -2.4869e-14 -4.94715e-13
