# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
31400 -5.92415e-13 -1.19016e-13 -6.66134e-14
31500 -5.79981e-13 -1.19016e-13 -6.43929e-14
31600 -5.96856e-13 -1.29674e-13 -7.54952e-14
31700 -5.86198e-13 -1.33227e-13 -7.01661e-14
31800 -5.68434e-13 -1.35447e-13 -5.24025e-14
31900 -5.98632e-13 -1.53211e-13 -7.01661e-14
32000 -5.91527e-13 -1.44773e-13 -7.10543e-14
32100 -5.76428e-13 -1.3145e-13 -8.52651e-14
32200 -5.88862e-13 -1.3689e-13 -8.52651e-14
32300 -5.79092e-13 -1.4877e-13 -6.92779e-14
32400 -5.93303e-13 -1.42553e-13 -7.10543e-14
32500 -5.98632e-13 -1.41664e-13 -8.52651e-14
32600 -5.7554e-13 -1.28786e-13 -1.03029e-13
32700 -5.7554e-13 -1.40332e-13 -1.24345e-13
32800 -5.7554e-13 -1.36779e-13 -8.34888e-14
32900 -5.95968e-13 -1.2701e-13 -7.9492e-14
33000 -6.06626e-13 -1.24345e-13 -7.14984e-14
33100 -5.96856e-13 -1.1724e-13 -6.61693e-14
33200 -6.0929e-13 -1.42997e-13 -9.81437e-14
33300 -5.8975e-13 -1.43885e-13 -1.08358e-13
33400 -6.16396e-13 -1.67866e-13 -1.16351e-13
33500 -6.30607e-13 -1.51879e-13 -1.27898e-13
33600 -6.61693e-13 -1.56319e-13 -1.34781e-13
33700 -6.80789e-13 -1.48326e-13 -1.43885e-13
33800 -6.70575e-13 -1.44551e-13 -1.47882e-13
33900 -6.7979e-13 -1.69198e-13 -1.49658e-13
34000 -6.79901e-13 -1.63425e-13 -1.32561e-13
34100 -6.76792e-13 -1.44773e-13 -1.47882e-13
34200 -6.60805e-13 -1.65201e-13 -1.42997e-13
34300 -6.89226e-13 -1.77636e-13 -1.37668e-13
34400 -6.90115e-13 -1.74083e-13 -1.1191e-13
34500 -6.63469e-13 -1.45661e-13 -1.29674e-13
34600 -6.76792e-13 -1.35003e-13 -1.08358e-13
34700 -6.76792e-13 -1.47438e-13 -1.08358e-13
34800 -6.73461e-13 -1.42109e-13 -1.20792e-13
34900 -7.00773e-13 -1.56763e-13 -1.27898e-13
35000 -7.0699e-13 -1.42997e-13 -1.15463e-13
35100 -6.92557e-13 -1.53211e-13 -1.42553e-13
