# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
47000 396.143 -2644.84
47100 392.409 -2641.11
47200 392.873 -2641.57
47300 395.093 -2643.8
47400 387.067 -2635.77
47500 402.137 -2650.84
47600 399.956 -2648.65
47700 392.865 -2641.56
47800 378.229 -2626.92
47900 401.49 -2650.19
48000 363.992 -2612.69
48100 408.781 -2657.47
48200 392.134 -2640.83
48300 411.458 -2660.16
48400 396.005 -2644.71
48500 405.299 -2654
48600 387.448 -2636.15
48700 412.413 -2661.11
48800 394.466 -2643.16
48900 386.636 -2635.34
49000 380.467 -2629.17
49100 389.902 -2638.6
49200 381.988 -2630.68
49300 402.439 -2651.14
49400 383.332 -2632.03
49500 377.086 -2625.78
49600 381.852 -2630.55
49700 377.732 -2626.43
49800 404.571 -2653.27
49900 389.387 -2638.09
50000 378.495 -2627.19
50100 403.895 -2652.6
50200 414.953 -2663.66
50300 407.642 -2656.34
50400 397.45 -2646.15
50500 403.719 -2652.42
50600 391.3 -2640
50700 416.828 -2665.53
50800 407.985 -2656.68
50900 408.673 -2657.37
51000 401.043 -2649.75
51100 411.037 -2659.73
51200 403.474 -2652.17
51300 377.335 -2626.03
51400 386.929 -2635.62
51500 396.836 -2645.54
51600 395.623 -2644.33
51700 398.691 -2647.39
51800 418.727 -2667.43
51900 384.962 -2633.66
52000 373.502 -2622.2
52100 387.505 -2636.2
52200 383.713 -2632.4
52300 388.498 -2637.2
52400 388.647 -2637.35
52500 401.293 -2650
52600 377.162 -2625.87
52700 420.661 -2669.36
52800 400.952 -2649.65
52900 415.385 -2664.09
53000 387.247 -2635.94
53100 411.712 -2660.4
53200 398.662 -2647.36
53300 387.644 -2636.34
53400 381.834 -2630.54
53500 387.025 -2635.72
53600 390.777 -2639.48
53700 399.27 -2647.97
53800 397.512 -2646.22
53900 389.969 -2638.66
54000 399.933 -2648.63
54100 392.402 -2641.1
54200 388.61 -2637.3
54300 401.718 -2650.42
54400 414.29 -2663
54500 386.064 -2634.76
54600 411.363 -2660.06
54700 402.11 -2650.81
54800 398.355 -2647.05
54900 398.945 -2647.64
55000 401.768 -2650.47
55100 402.317 -2651.01
55200 396.397 -2645.09
